adBPtot
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
1
1
1
1
1
1
1
1
2
2
2
3
3
3
3
3
3
3
3
3
4
4
4
4
5
5
5
5
5
5
5
5
6
6
6
7
7
7
7
7
7
7
8
8
8
9
9
9
9
9
9
9
10
10
10
10
11
11
11
11
12
12
12
13
13
13
16
17
17
17
17
18
18
18
18
18
18
19
19
19
20
20
21
21
22
23
24
25
25
26
26
28
28
29
30
31
32
33
33
35
36
44
44
45
46
47
52
59
61
66
73
74
84
100
102
119
125
